Index,src,snk
0,8,468
1,192,287
2,410,55
3,314,353
4,14,452
5,65,369
6,5,365
7,41,146
8,6,61
9,159,278
10,255,167
11,349,102
12,266,170
13,68,236
14,84,250
15,456,466
16,143,20
17,450,212
18,276,216
19,239,323
20,82,123
21,282,393
22,11,248
23,401,429
24,176,131
25,289,361
26,62,334
27,153,138
28,282,211
29,72,399
30,250,6
31,480,356
32,160,59
33,112,149
34,172,169
35,405,58
36,433,330
37,308,181
38,403,83
39,409,335
40,265,457
41,363,310
42,280,93
43,114,94
44,452,395
45,110,148
46,324,443
47,348,377
48,380,122
49,301,92
50,372,130
51,205,206
52,132,293
53,273,420
54,164,383
55,332,318
56,86,339
57,225,56
58,262,329
59,156,92
60,170,343
61,43,252
62,421,173
63,378,360
64,362,397
65,157,474
66,162,411
67,330,377
68,85,487
69,36,487
70,389,465
71,2,481
72,465,161
73,122,439
74,117,205
75,299,132
76,388,413
77,106,310
78,315,123
79,173,358
80,152,125
81,257,415
82,278,424
83,440,32
84,102,29
85,476,455
86,456,1
87,159,275
88,456,215
89,318,151
90,460,373
91,237,204
92,471,339
93,152,489
94,256,343
95,250,110
96,35,103
97,328,45
98,495,452
99,169,164
100,200,37
101,454,56
102,120,257
103,241,15
104,467,190
105,40,54
106,449,90
107,81,255
108,364,366
109,213,496
110,427,227
111,202,413
112,212,121
113,31,341
114,407,282
115,242,289
116,68,310
117,331,223
118,421,58
119,415,203
120,100,154
121,173,310
122,71,409
123,427,496
124,274,239
125,41,111
126,202,216
127,376,482
128,320,489
129,163,162
130,42,28
131,206,334
132,82,423
133,39,442
134,477,286
135,436,16
136,112,46
137,489,280
138,371,156
139,471,358
140,262,80
141,147,484
142,194,10
143,280,187
144,134,394
145,269,87
146,12,150
147,456,369
148,463,323
149,368,339
150,420,276
151,174,272
152,282,395
153,308,123
154,11,44
155,417,188
156,291,198
157,478,493
158,248,342
159,136,375
160,12,304
161,136,386
162,200,91
163,400,334
164,22,86
165,189,98
166,50,336
167,43,197
168,296,281
169,402,37
170,439,38
171,459,287
172,81,274
173,484,109
174,254,12
175,395,108
176,421,35
177,159,176
178,8,296
179,470,1
180,96,481
181,344,24
182,225,275
183,76,59
184,339,404
185,222,55
186,260,29
187,243,408
188,282,242
189,362,123
190,77,134
191,338,99
192,20,251
193,99,384
194,230,158
195,375,391
196,282,16
197,102,86
198,355,417
199,11,415
200,34,393
201,391,296
202,302,479
203,149,172
204,219,457
205,40,360
206,394,129
207,375,447
208,307,155
209,164,286
210,126,391
211,399,40
212,168,6
213,148,368
214,332,92
215,164,38
216,41,346
217,250,235
218,356,91
219,471,439
220,53,109
221,148,31
222,51,326
223,486,239
224,318,382
225,98,276
226,330,33
227,423,331
228,82,313
229,410,30
230,478,222
231,427,463
232,381,95
233,372,494
234,143,172
235,39,427
236,388,324
237,15,487
238,154,349
239,300,22
240,428,293
241,344,284
242,192,123
243,179,256
244,172,376
245,252,17
246,96,44
247,70,183
248,313,490
249,188,55
250,341,98
251,400,244
252,38,258
253,317,136
254,45,68
255,226,309
256,433,50
257,286,320
258,70,82
259,453,372
260,462,318
261,79,476
262,248,67
263,458,321
264,179,3
265,176,135
266,4,456
267,86,228
268,52,234
269,452,62
270,461,1
271,335,269
272,55,131
273,120,219
274,431,322
275,462,432
276,463,157
277,291,275
278,397,313
279,0,278
280,67,218
281,103,314
282,289,186
283,463,48
284,459,174
285,216,315
286,111,180
287,389,57
288,206,139
289,491,92
290,320,169
291,298,362
292,50,472
293,406,234
294,336,270
295,363,159
296,31,447
297,225,100
298,2,234
299,110,356
300,356,1
301,278,393
302,144,10
303,400,310
304,350,88
305,85,307
306,348,180
307,204,296
308,180,106
309,116,334
310,69,357
311,35,329
312,274,452
313,265,323
314,47,176
315,118,429
316,403,33
317,198,2
318,437,81
319,410,271
320,251,66
321,2,360
322,39,209
323,365,243
324,248,88
325,225,421
326,294,31
327,400,320
328,4,494
329,370,162
330,459,414
331,59,89
332,152,462
333,12,456
334,440,52
335,294,69
336,113,365
337,118,426
338,204,160
339,85,76
340,327,244
341,386,176
342,191,222
343,328,6
344,230,393
345,491,188
346,183,221
347,309,297
348,472,474
349,399,78
350,278,468
351,105,340
352,255,162
353,67,90
354,441,52
355,133,166
356,308,277
357,456,236
358,226,440
359,317,109
360,420,375
361,172,454
362,464,170
363,316,472
364,206,228
365,465,182
366,48,149
367,71,174
368,146,413
369,467,187
370,143,49
371,46,165
372,414,208
373,330,147
374,280,89
375,112,0
376,372,305
377,239,320
378,480,140
379,373,411
380,293,87
381,385,288
382,335,453
383,258,314
384,116,420
385,23,403
386,109,475
387,463,254
388,419,207
389,370,186
390,496,76
391,8,476
392,269,27
393,131,355
394,466,124
395,388,346
396,316,365
397,245,179
398,198,360
399,210,273
400,446,333
401,219,420
402,46,11
403,176,274
404,158,397
405,344,3
406,89,132
407,315,100
408,11,319
409,58,364
410,286,449
411,214,495
412,458,416
413,377,129
414,138,299
415,53,334
416,4,471
417,152,452
418,482,81
419,133,423
420,434,446
421,120,183
422,423,57
423,378,256
424,491,7
425,377,2
426,107,44
427,304,372
428,416,393
429,50,365
430,110,477
431,38,164
432,432,13
433,256,175
434,37,132
435,188,116
436,476,331
437,410,293
438,461,49
439,419,29
440,301,350
441,205,258
442,225,84
443,197,382
444,440,336
445,321,156
446,244,235
447,78,291
448,463,113
449,389,249
450,370,480
451,464,37
452,202,351
453,372,482
454,489,229
455,117,183
456,53,259
457,338,164
458,219,25
459,254,237
460,166,288
461,138,208
462,496,466
463,341,301
464,478,148
465,410,181
466,408,25
467,112,204
468,372,271
469,257,86
470,204,398
471,148,470
472,269,274
473,374,55
474,211,458
475,367,23
476,286,98
477,471,301
478,216,152
479,448,173
480,34,132
481,208,346
482,470,422
483,204,0
484,35,265
485,164,238
486,132,274
487,159,489
488,376,63
489,450,39
490,262,317
491,78,471
492,164,140
493,161,18
494,183,357
495,86,112
496,210,328
497,251,428
498,347,165
499,467,246
500,106,104
501,338,463
502,304,122
503,58,399
504,310,204
505,260,344
506,392,460
507,400,112
508,113,271
509,336,69
510,433,155
511,237,130
512,143,395
513,274,297
514,94,379
515,252,259
516,337,105
517,436,199
518,86,313
519,36,250
520,425,233
521,228,172
522,197,398
523,2,157
524,194,98
525,454,2
526,70,204
527,131,60
528,16,396
529,282,123
530,126,363
531,113,314
532,176,243
533,102,419
534,120,115
535,143,411
536,16,15
537,326,232
538,94,12
539,376,282
540,44,7
541,202,151
542,452,200
543,407,207
544,419,483
545,392,274
546,96,457
547,192,370
548,32,415
549,414,177
550,497,363
551,284,296
552,484,209
553,76,153
554,216,336
555,301,186
556,45,464
557,392,382
558,152,153
559,244,112
560,191,51
561,271,202
562,131,381
563,279,175
564,490,14
565,291,130
566,334,100
567,237,482
568,417,280
569,238,152
570,349,124
571,425,195
572,482,481
573,392,347
574,499,185
575,21,130
576,10,284
577,86,244
578,250,404
579,158,194
580,344,207
581,133,306
582,21,102
583,360,55
584,97,141
585,160,179
586,2,421
587,119,455
588,230,471
589,72,112
590,138,5
591,231,9
592,34,247
593,221,453
594,128,357
595,253,414
596,20,273
597,126,150
598,271,46
599,82,18
600,90,188
601,200,162
602,16,386
603,85,228
604,460,195
605,441,20
606,200,136
607,329,354
608,453,316
609,164,56
610,250,88
611,241,355
612,189,78
613,16,58
614,244,287
615,317,305
616,59,178
617,326,217
618,228,97
619,67,267
620,262,330
621,226,56
622,314,319
623,309,29
624,214,184
625,151,13
626,233,53
627,157,341
628,484,192
629,283,66
630,490,346
631,452,48
632,385,469
633,85,306
634,354,44
635,493,297
636,214,269
637,266,247
638,152,345
639,210,154
640,318,354
641,331,183
642,349,426
643,304,446
644,198,3
645,172,86
646,334,41
647,499,239
648,499,8
649,315,305
650,221,75
651,318,96
652,273,54
653,402,495
654,439,81
655,451,331
656,353,336
657,403,15
658,43,279
659,315,217
660,460,46
661,176,406
662,234,309
663,169,300
664,115,255
665,265,96
666,417,236
667,69,132
668,207,213
669,126,447
670,175,119
671,81,6
672,11,182
673,335,171
674,452,439
675,61,364
676,59,295
677,434,19
678,77,416
679,268,444
680,197,150
681,286,416
682,352,357
683,330,387
684,468,189
685,351,270
686,114,71
687,58,211
688,140,166
689,108,288
690,476,485
691,314,52
692,117,151
693,284,40
694,310,491
695,273,146
696,151,276
697,498,465
