Index,src,snk
0,754,757
1,444,630
2,948,683
3,133,42
4,677,624
5,849,575
6,710,143
7,672,545
8,182,240
9,525,602
10,96,497
11,742,653
12,453,496
13,435,913
14,734,313
15,738,909
16,708,131
17,318,408
18,578,238
19,455,634
20,758,960
21,414,242
22,803,127
23,489,846
24,673,906
25,423,0
26,154,6
27,746,379
28,782,807
29,531,484
30,353,57
31,690,432
32,692,335
33,927,880
34,20,778
35,200,82
36,790,284
37,306,366
38,613,197
39,662,721
40,3,584
41,706,227
42,348,288
43,924,271
44,930,534
45,740,812
46,932,834
47,974,402
48,249,841
49,501,1
50,496,685
51,813,398
52,103,651
53,335,279
54,637,169
55,276,778
56,238,969
57,204,341
58,798,989
59,496,825
60,323,65
61,563,640
62,210,324
63,468,948
64,996,814
65,490,28
66,83,384
67,214,360
68,782,137
69,967,384
70,881,790
71,852,603
72,517,141
73,54,712
74,341,767
75,288,742
76,128,371
77,788,182
78,985,351
79,132,950
80,343,35
81,959,10
82,420,517
83,607,950
84,343,968
85,335,191
86,210,794
87,458,932
88,816,41
89,592,762
90,335,473
91,616,497
92,716,152
93,131,711
94,3,582
95,463,373
96,445,438
97,570,748
98,141,725
99,393,567
100,595,433
101,370,813
102,511,713
103,441,688
104,945,804
105,752,909
106,206,293
107,54,715
108,432,568
109,288,45
110,408,764
111,572,623
112,323,839
113,331,970
114,122,872
115,646,203
116,445,383
117,476,829
118,609,137
119,824,879
120,40,201
121,715,991
122,466,134
123,379,902
124,103,683
125,339,785
126,954,857
127,348,622
128,357,515
129,307,237
130,902,644
131,350,547
132,883,296
133,555,64
134,451,495
135,984,140
136,758,845
137,504,748
138,738,87
139,65,169
140,193,886
141,546,394
142,204,887
143,374,645
144,733,581
145,740,695
146,815,128
147,631,340
148,950,998
149,664,696
150,386,48
151,612,18
152,166,681
153,334,134
154,576,731
155,865,841
156,424,812
157,591,235
158,904,223
159,318,409
160,327,739
161,15,187
162,972,170
163,628,498
164,348,471
165,567,286
166,434,634
167,179,44
168,470,139
169,244,271
170,458,554
171,15,963
172,546,859
173,64,255
174,572,698
175,405,317
176,504,873
177,354,70
178,743,464
179,725,393
180,980,148
181,213,654
182,477,486
183,429,438
184,228,643
185,96,671
186,301,602
187,182,384
188,175,468
189,694,372
190,766,123
191,987,226
192,973,286
193,258,728
194,562,571
195,829,51
196,35,707
197,756,84
198,123,751
199,286,444
200,971,283
201,394,720
202,457,45
203,898,153
204,555,282
205,123,41
206,770,944
207,81,265
208,747,283
209,590,561
210,969,727
211,839,7
212,89,117
213,347,982
214,111,710
215,91,255
216,366,319
217,113,778
218,800,206
219,612,236
220,269,857
221,954,828
222,953,190
223,674,872
224,878,3
225,717,334
226,26,556
227,618,226
228,697,811
229,218,590
230,589,523
231,318,984
232,168,205
233,773,250
234,242,273
235,930,416
236,424,207
237,672,986
238,953,807
239,10,397
240,322,16
241,914,25
242,744,338
243,461,477
244,932,380
245,653,175
246,61,417
247,394,844
248,672,412
249,708,284
250,10,98
251,232,674
252,611,697
253,28,85
254,842,505
255,615,801
256,285,349
257,788,707
258,925,896
259,237,698
260,521,629
261,347,68
262,419,105
263,432,153
264,892,215
265,444,506
266,163,528
267,42,868
268,300,230
269,858,137
270,737,486
271,379,947
272,885,699
273,79,129
274,548,518
275,479,932
276,169,405
277,925,544
278,268,721
279,848,715
280,185,369
281,44,807
282,697,793
283,791,450
284,468,167
285,444,270
286,17,94
287,930,417
288,323,725
289,823,377
290,761,70
291,860,345
292,1,323
293,532,220
294,540,413
295,789,685
296,936,89
297,223,899
298,103,436
299,609,559
300,134,250
301,984,477
302,981,819
303,284,489
304,538,709
305,543,556
306,118,39
307,119,259
308,553,618
309,86,734
310,496,925
311,756,630
312,851,397
313,166,290
314,462,575
315,981,426
316,138,871
317,518,408
318,140,328
319,51,330
320,265,440
321,569,787
322,334,470
323,118,242
324,477,9
325,924,935
326,710,205
327,444,109
328,248,773
329,678,967
330,946,300
331,76,170
332,275,449
333,571,267
334,753,270
335,458,273
336,515,292
337,483,240
338,693,400
339,687,631
340,520,833
341,163,220
342,234,296
343,121,9
344,478,757
345,250,325
346,286,709
347,533,978
348,921,938
349,617,370
350,748,340
351,834,123
352,181,944
353,273,802
354,555,402
355,354,181
356,984,546
357,555,911
358,106,776
359,954,972
360,864,550
361,833,88
362,291,415
363,399,800
364,517,843
365,149,301
366,764,192
367,801,356
368,109,274
369,895,522
370,821,176
371,316,157
372,369,715
373,573,237
374,215,87
375,611,115
376,0,775
377,182,542
378,384,160
379,200,590
380,791,244
381,516,187
382,963,67
383,141,717
384,468,354
385,565,130
386,97,110
387,195,41
388,544,123
389,912,340
390,798,757
391,539,38
392,587,590
393,770,222
394,957,35
395,870,159
396,954,298
397,608,550
398,0,517
399,370,713
400,301,566
401,991,525
402,666,367
403,629,666
404,278,290
405,977,666
406,706,866
407,744,426
408,316,652
409,396,261
410,864,589
411,985,178
412,605,67
413,471,950
414,384,556
415,249,643
416,907,871
417,697,544
418,607,139
419,878,962
420,760,55
421,736,17
422,937,776
423,848,843
424,223,840
425,422,327
426,873,638
427,67,178
428,60,595
429,276,326
430,209,838
431,27,853
432,395,375
433,352,359
434,788,50
435,438,108
436,223,366
437,892,420
438,88,39
439,346,572
440,56,535
441,976,405
442,494,219
443,788,402
444,438,754
445,97,530
446,135,554
447,207,882
448,664,979
449,5,782
450,780,186
451,551,73
452,599,168
453,322,9
454,954,188
455,977,882
456,462,686
457,298,614
458,973,188
459,703,466
460,953,517
461,787,245
462,842,508
463,992,843
464,519,271
465,767,756
466,848,284
467,671,340
468,711,440
469,878,15
470,331,13
471,152,265
472,343,765
473,462,894
474,967,425
475,50,427
476,637,843
477,597,749
478,570,551
479,398,532
480,642,77
481,268,140
482,190,466
483,551,576
484,457,552
485,485,305
486,55,613
487,793,89
488,17,950
489,864,319
490,62,172
491,839,641
492,746,143
493,789,719
494,710,762
495,695,117
496,601,688
497,65,428
498,720,633
499,303,922
500,120,31
501,853,636
502,816,703
503,944,505
504,150,925
505,589,153
506,613,113
507,154,463
508,93,593
509,634,123
510,235,604
511,503,395
512,923,867
513,255,993
514,424,971
515,599,729
516,168,342
517,605,294
518,794,729
519,756,464
520,87,102
521,487,630
522,782,679
523,864,865
524,797,261
525,816,117
526,924,572
527,899,927
528,213,249
529,314,332
530,268,834
531,605,373
532,352,888
533,833,375
534,738,940
535,486,240
536,777,154
537,72,770
538,426,626
539,839,465
540,578,872
541,896,645
542,794,963
543,150,499
544,481,268
545,509,631
546,605,323
547,476,919
548,967,384
549,386,614
550,122,282
551,793,468
552,906,248
553,398,343
554,149,275
555,981,550
556,11,159
557,607,249
558,610,977
559,379,265
560,821,79
561,774,427
562,570,699
563,752,600
564,287,390
565,565,412
566,496,164
567,408,249
568,493,136
569,43,657
570,971,355
571,381,123
572,947,280
573,555,617
574,114,422
575,155,90
576,803,614
577,374,489
578,1,960
579,817,857
580,75,366
581,118,964
582,329,822
583,565,180
584,241,702
585,512,309
586,335,737
587,357,335
588,289,509
589,697,572
590,490,606
591,431,107
592,688,669
593,292,263
594,181,936
595,323,216
596,338,30
597,190,501
598,657,663
599,163,129
600,509,437
601,708,955
602,587,397
603,712,121
604,68,45
605,319,457
606,930,220
607,942,923
608,832,613
609,921,205
610,930,121
611,984,46
612,993,471
613,930,508
614,964,705
615,464,260
616,757,93
617,150,587
618,477,350
619,328,348
620,213,911
621,803,284
622,970,579
623,877,708
624,149,153
625,196,432
626,634,776
627,386,753
628,668,925
629,218,827
630,561,162
631,479,810
632,688,909
633,743,603
634,563,868
635,689,496
636,7,749
637,298,129
638,270,559
639,706,217
640,97,31
641,443,561
642,747,874
643,745,224
644,192,709
645,991,232
646,966,882
647,322,153
648,800,973
649,345,328
650,837,88
651,18,294
652,615,188
653,167,281
654,984,307
655,939,684
656,658,304
657,747,442
658,615,684
659,591,828
660,907,432
661,84,696
662,847,293
663,333,353
664,474,444
665,742,353
666,898,740
667,958,71
668,860,132
669,58,269
670,982,958
671,457,32
672,554,739
673,786,278
674,520,621
675,625,983
676,496,217
677,374,721
678,560,887
679,504,71
680,182,105
681,683,913
682,158,471
683,803,761
684,634,180
685,530,583
686,863,867
687,641,315
688,186,120
689,706,506
690,870,247
691,378,847
692,2,810
693,488,570
694,486,108
695,75,463
696,304,924
697,437,331
698,110,633
699,531,718
700,704,657
701,570,382
702,544,589
703,24,133
704,407,208
705,50,360
706,667,118
707,746,678
708,498,524
709,454,263
710,329,621
711,468,98
712,285,60
713,782,313
714,76,680
715,841,329
716,729,420
717,558,429
718,734,87
719,416,616
720,300,379
721,798,652
722,252,594
723,287,932
724,352,930
725,191,98
726,786,214
727,291,577
728,455,683
729,455,752
730,984,873
731,972,76
732,20,7
733,674,533
734,826,460
735,879,183
736,424,572
737,764,999
738,971,934
739,609,915
740,242,152
741,419,99
742,863,921
743,892,650
744,878,986
745,629,345
746,248,856
747,509,547
748,743,452
749,120,881
750,753,969
751,497,825
752,733,152
753,358,914
754,893,989
755,497,697
756,919,779
757,979,209
758,489,409
759,801,850
760,962,887
761,785,316
762,308,405
763,997,579
764,562,832
765,868,861
766,50,196
767,866,336
768,659,431
769,374,398
770,497,37
771,570,259
772,850,242
773,406,262
774,381,189
775,559,369
776,60,4
777,305,943
778,918,81
779,173,263
780,761,398
781,118,458
782,959,211
783,13,383
784,950,459
785,537,412
786,839,629
787,89,508
788,215,841
789,985,905
790,744,941
791,784,505
792,32,756
793,470,296
794,230,748
795,350,78
796,912,517
797,12,529
798,638,977
799,855,762
800,992,938
801,863,775
802,52,107
803,929,698
804,447,804
805,66,737
806,552,76
807,335,515
808,401,600
809,542,888
810,739,60
811,814,987
812,328,931
813,795,499
814,584,171
815,255,383
816,29,133
817,314,724
818,335,588
819,667,275
820,658,465
821,249,37
822,255,527
823,567,81
824,587,338
825,933,737
826,851,515
827,135,160
828,471,595
829,819,491
830,294,636
831,422,882
832,269,990
833,558,64
834,378,30
835,570,77
836,174,378
837,340,244
838,304,287
839,809,112
840,15,415
841,894,868
842,872,511
843,883,803
844,211,783
845,348,410
846,797,587
847,81,853
848,663,637
849,970,673
850,637,780
851,591,54
852,752,303
853,274,11
854,539,972
855,87,207
856,890,473
857,383,757
858,791,398
859,208,380
860,894,550
861,629,754
862,545,541
863,878,103
864,629,793
865,660,508
866,75,924
867,562,332
868,6,572
869,653,394
870,530,305
871,329,876
872,184,57
873,86,468
874,808,220
875,78,810
876,926,220
877,808,746
878,477,94
879,634,455
880,801,179
881,705,461
882,738,313
883,381,470
884,864,82
885,372,713
886,609,536
887,545,579
888,209,27
889,677,186
890,91,727
891,160,684
892,359,931
893,690,460
894,182,353
895,583,669
896,698,930
897,509,411
898,153,189
899,929,361
900,398,503
901,407,386
902,829,325
903,718,231
904,163,697
905,332,265
906,945,199
907,807,430
908,44,321
909,808,405
910,898,700
911,121,724
912,356,725
913,899,723
914,216,8
915,682,40
916,56,317
917,34,642
918,138,458
919,977,815
920,736,189
921,830,96
922,613,367
923,439,25
924,336,491
925,759,585
926,574,176
927,786,158
928,373,308
929,921,325
930,285,907
931,413,407
932,56,77
933,121,637
934,114,389
935,718,133
936,752,920
937,255,503
938,954,247
939,204,855
940,540,960
941,267,108
942,457,987
943,375,690
944,646,67
945,412,237
946,774,959
947,515,619
948,624,117
949,538,546
950,360,156
951,362,468
952,339,944
953,906,318
954,894,927
955,562,221
956,818,423
957,131,105
958,982,820
959,134,547
960,102,581
961,763,531
962,477,876
963,841,732
964,809,123
965,772,33
966,365,713
967,220,971
968,765,413
969,150,335
970,330,279
971,541,860
972,948,168
973,610,342
974,509,613
975,218,414
976,36,867
977,291,618
978,469,935
979,885,116
980,36,879
981,681,264
982,294,360
983,468,14
984,141,324
985,547,378
986,594,663
987,950,469
988,830,570
989,760,413
990,964,420
991,454,197
992,54,659
993,813,486
994,898,941
995,878,171
996,332,847
997,719,692
998,213,893
999,1,443
1000,432,856
1001,123,356
1002,267,338
1003,388,690
1004,497,82
1005,706,591
1006,753,702
1007,279,815
1008,917,223
1009,267,849
1010,26,362
1011,647,845
1012,172,89
1013,437,837
1014,676,91
1015,929,410
1016,782,362
1017,979,591
1018,354,451
1019,825,388
1020,699,409
1021,971,468
1022,675,2
1023,821,187
1024,511,771
1025,601,316
1026,433,260
1027,865,927
1028,540,262
1029,11,621
1030,255,156
1031,979,221
1032,872,344
1033,41,838
1034,241,75
1035,417,192
1036,437,621
1037,835,278
1038,976,935
1039,838,608
