Index,src,snk,sourceOtu,targetOtu,m_width,bandType,sourceDimColors,targetDimColors
483,59,50,46794,46355,24,0,:48-72:960-964,:48-72:960-964
1104,89,80,48465,48026,24,0,:552-576:960-964,:552-576:960-964
1605,149,140,51746,51307,24,0,:96-120:960-964,:96-120:960-964
1847,1875,1823,32668,32229,24,0,:144-168:960-964,:144-168:960-964
959,396,387,78658,78219,24,0,:912-936:960-964,:912-936:960-964
1227,1477,1354,16908,16469,24,0,:624-648:960-964,:624-648:960-964
406,49,40,46247,45808,24,0,:120-144:960-964,:120-144:960-964
987,19,10,44618,44179,24,0,:624-648:960-964,:624-648:960-964
354,892,883,6136,5697,24,0,:792-816:960-964,:792-816:960-964
769,1564,1456,16340,15901,24,0,:192-216:960-964,:192-216:960-964
355,892,883,6137,5698,24,0,:816-840:960-964,:816-840:960-964
213,862,853,4464,4025,24,0,:288-312:960-964,:288-312:960-964
1186,99,90,49017,48578,24,0,:600-624:960-964,:600-624:960-964
1221,1477,1354,16902,16463,24,0,:480-504:960-964,:480-504:960-964
1393,1162,1153,62555,62116,24,0,:768-792:960-964,:768-792:960-964
927,396,387,78626,78187,24,0,:144-168:960-964,:144-168:960-964
1380,1162,1153,62542,62103,24,0,:456-480:960-964,:456-480:960-964
1053,79,70,47904,47465,24,0,:288-312:960-964,:288-312:960-964
338,892,883,6120,5681,24,0,:408-432:960-964,:408-432:960-964
172,852,843,3913,3474,24,0,:264-288:960-964,:264-288:960-964
1677,386,379,78106,77793,24,0,:864-888:960-964,:864-888:960-964
1530,1681,1672,102296,101857,24,0,:216-240:960-964,:216-240:960-964
33,812,803,1734,1294,24,0,:768-792:960-964,:768-792:960-964
751,1142,1133,61453,61013,24,0,:720-744:960-964,:720-744:960-964
360,892,883,6142,5703,24,0,:936-964,:936-964
1161,99,90,48992,48553,24,0,:0-24:960-964,:0-24:960-964
393,9,0,44074,43635,24,0,:768-792:960-964,:768-792:960-964
1617,149,140,51758,51319,24,0,:384-408:960-964,:384-408:960-964
87,832,823,2808,2369,24,0,:144-168:960-964,:144-168:960-964
395,9,0,44076,43637,24,0,:816-840:960-964,:816-840:960-964
1545,1681,1672,102311,101872,24,0,:576-600:960-964,:576-600:960-964
931,396,387,78630,78191,24,0,:240-264:960-964,:240-264:960-964
527,109,100,49548,49109,24,0,:144-168:960-964,:144-168:960-964
306,882,873,5578,5139,24,0,:600-624:960-964,:600-624:960-964
1332,1599,1351,20744,20305,24,0,:264-288:960-964,:264-288:960-964
718,1082,1073,58159,57720,24,0,:888-912:960-964,:888-912:960-964
1328,1599,1351,20740,20301,24,0,:168-192:960-964,:168-192:960-964
881,1122,1113,60322,59883,24,0,:0-24:960-964,:0-24:960-964
1347,1599,1351,20759,20320,24,0,:624-648:960-964,:624-648:960-964
1500,1504,1370,18001,17562,24,0,:456-480:960-964,:456-480:960-964
576,119,110,50107,49668,24,0,:360-384:960-964,:360-384:960-964
968,19,10,44599,44160,24,0,:168-192:960-964,:168-192:960-964
1172,99,90,49003,48564,24,0,:264-288:960-964,:264-288:960-964
829,1092,1083,58700,58261,24,0,:672-696:960-964,:672-696:960-964
1377,1162,1153,62539,62100,24,0,:384-408:960-964,:384-408:960-964
1436,29,20,45177,44738,24,0,:840-864:960-964,:840-864:960-964
1251,1887,1876,33223,32784,24,0,:240-264:960-964,:240-264:960-964
1190,99,90,49021,48582,24,0,:696-720:960-964,:696-720:960-964
1920,406,397,79209,78770,24,0,:936-964,:936-964
1302,1112,1103,59793,59354,24,0,:504-528:960-964,:504-528:960-964
1203,1477,1354,16884,16445,24,0,:48-72:960-964,:48-72:960-964
803,1092,1083,58674,58235,24,0,:48-72:960-964,:48-72:960-964
1892,406,397,79181,78742,24,0,:264-288:960-964,:264-288:960-964
1696,1380,1350,21298,20859,24,0,:360-384:960-964,:360-384:960-964
